city,state
Adalaj,IN-GJ
Agartala,IN-TR
Ahmedeabad,IN-GJ
Alapuzha,IN-KL
Ambala Cantt,IN-HR
Ambala City,IN-HR
Amreli,IN-GJ
Arpora,IN-MH
Badlapur,IN-MH
Baroda,IN-GJ
Berhampur,IN-OR
Bhilai,IN-CT
Bhiwadi,IN-RJ
Bhubaneswar,IN-OR
Chakradharpur,IN-JH
Chandannagar,IN-WB
Changanacherry,IN-KL
Dahanu,IN-MH
Deoban,IN-UP
Derabassi,IN-PB
Dindigul,IN-TN
Gadwal,IN-AP
Gandhidham,IN-GJ
Gkp,IN-UP
Haldia,IN-WB
Hansi,IN-HR
hisar,IN-HR
Hosur,IN-TN
Hubli,IN-KA
Jamshedpur,IN-JH
JP nagar,IN-UP
Kalyan,IN-MH
Khanna,IN-PB
Kochi,IN-KL
Mangolpuri,IN-DL
Margao,IN-GA
Mohali,IN-PB
Nabha,IN-PB
Nallasopara,IN-MH
Panjim,IN-GA
Panvel,IN-MH
Phagwara,IN-PB
Ponda,IN-GA
Pondiccherry,IN-TN
Porvorim,IN-GA
Rajahmundry,IN-AP
Rajpura,IN-PB
Ranebennur,IN-KA
Srerampore,IN-WB
Rohini,IN-DL
Roorkee,IN-UK
Rudrapur,IN-UK
Secunderabad,IN-AP
Siliguri,IN-WB
Sonepat,IN-HR
Sri Ganganagar,IN-RJ
Tambaram,IN-TN
Tirupati,IN-AP
Trichy,IN-TN
Ulhasnagar,IN-MH
Uttarpara,IN-WB
Vasai,IN-MH
Vijayawada,IN-AP
Virar,IN-MH
Yamunanagar,IN-HR
