pincode,address,address from api,districtname,statename,lat,lon
504273,"504273,TELANGANA,India","Mancherial District, - 504273, Telangana, India",Adilabad,TELANGANA,19.1542816,79.5999075
504293,"504293,TELANGANA,India","Komram Bheem, - 504293, Telangana, India",Adilabad,TELANGANA,19.3763218,79.2676121
504307,"504307,TELANGANA,India","Adilabad, - 504307, Telangana, India",Adilabad,TELANGANA,19.426675,78.4525619
504001,"504001,TELANGANA,India","Kurshid Nagar, - 504001, Telangana, India",Adilabad,TELANGANA,19.6628912,78.5252979
504251,"504251,TELANGANA,India","Mancherial District, - 504251, Telangana, India",Adilabad,TELANGANA,19.0635088,79.4968958
504309,"504309,TELANGANA,India","Adilabad, - 504309, Telangana, India",Adilabad,TELANGANA,19.6717553,78.7977267
504201,"504201,TELANGANA,India","Mancherial District, - 504201, Telangana, India",Adilabad,TELANGANA,18.7926116,79.7686767
504110,"504110,TELANGANA,India","504110, Telangana, India",Adilabad,TELANGANA,19.1587443,78.0979429
504202,"504202,TELANGANA,India","Nirmal, - 504202, Telangana, India",Adilabad,TELANGANA,19.0805374,78.8112168
504296,"504296,TELANGANA,India","Komram Bheem, - 504296, Telangana, India",Adilabad,TELANGANA,19.3467249,79.4873564
504231,"504231,TELANGANA,India","Mancherial District, - 504231, Telangana, India",Adilabad,TELANGANA,19.0548748,79.3759043
504109,"504109,TELANGANA,India","Nirmal, - 504109, Telangana, India",Adilabad,TELANGANA,19.1798388,78.0941805
504299,"504299,TELANGANA,India","New Colony, Bengali Camp - 504299, Telangana, India",Adilabad,TELANGANA,19.4787,79.5903
504002,"504002,TELANGANA,India","Adilabad, - 504002, Telangana, India",Adilabad,TELANGANA,19.6421452,78.5100744
504204,"504204,TELANGANA,India","Mancherial District, - 504204, Telangana, India",Adilabad,TELANGANA,18.9560065,79.6095991
504312,"504312,TELANGANA,India","Adilabad, - 504312, Telangana, India",Adilabad,TELANGANA,19.6268264,78.399874
504313,"504313,TELANGANA,India","Komram Bheem, - 504313, Telangana, India",Adilabad,TELANGANA,19.5479737,79.6375664
504101,"504101,TELANGANA,India","Nirmal, - 504101, Telangana, India",Adilabad,TELANGANA,18.8801629,77.9538984
504205,"504205,TELANGANA,India","Jagtial, - 504205, Telangana, India",Adilabad,TELANGANA,19.0604107,79.0408087
504203,"504203,TELANGANA,India","Nirmal, - 504203, Telangana, India",Adilabad,TELANGANA,19.1005103,78.6552112
504295,"504295,TELANGANA,India","Komram Bheem, - 504295, Telangana, India",Adilabad,TELANGANA,19.5138502,79.3363456
504106,"504106,TELANGANA,India","Nirmal, - 504106, Telangana, India",Adilabad,TELANGANA,19.0960197,78.3543948
504306,"504306,TELANGANA,India","Nirmal, - 504306, Telangana, India",Adilabad,TELANGANA,19.1031544,78.2399514
504304,"504304,TELANGANA,India","Adilabad, - 504304, Telangana, India",Adilabad,TELANGANA,19.3874652,78.3296794
504103,"504103,TELANGANA,India","Nirmal, - 504103, Telangana, India",Adilabad,TELANGANA,19.1163663,78.0392911
504308,"504308,TELANGANA,India","Adilabad, - 504308, Telangana, India",Adilabad,TELANGANA,19.5520529,78.4799979
504311,"504311,TELANGANA,India","Adilabad, - 504311, Telangana, India",Adilabad,TELANGANA,19.4021393,78.7762936
504272,"504272,TELANGANA,India","Mancherial District, - 504272, Telangana, India",Adilabad,TELANGANA,19.1563878,79.4375069
